Date,Decade,Year,Month,Day,min,max,mean
1959-10-08 00:00:00,1950s,1959,10,8,62.0,81.0,71.5
1959-10-09 00:00:00,1950s,1959,10,9,71.0,82.0,76.5
1959-10-10 00:00:00,1950s,1959,10,10,67.0,78.0,72.5
1960-10-03 00:00:00,1960s,1960,10,3,50.0,73.0,61.5
1960-10-04 00:00:00,1960s,1960,10,4,47.0,63.0,55.0
1960-10-05 00:00:00,1960s,1960,10,5,43.0,69.0,56.0
1960-10-06 00:00:00,1960s,1960,10,6,54.0,74.0,64.0
1960-10-07 00:00:00,1960s,1960,10,7,46.0,70.0,58.0
1960-10-08 00:00:00,1960s,1960,10,8,42.0,67.0,54.5
1960-10-09 00:00:00,1960s,1960,10,9,52.0,64.0,58.0
1960-10-10 00:00:00,1960s,1960,10,10,47.0,78.0,62.5
1961-10-03 00:00:00,1960s,1961,10,3,50.0,66.0,58.0
1961-10-04 00:00:00,1960s,1961,10,4,39.0,61.0,50.0
1961-10-05 00:00:00,1960s,1961,10,5,36.0,69.0,52.5
1961-10-06 00:00:00,1960s,1961,10,6,44.0,79.0,61.5
1961-10-07 00:00:00,1960s,1961,10,7,46.0,82.0,64.0
1961-10-08 00:00:00,1960s,1961,10,8,53.0,78.0,65.5
1961-10-09 00:00:00,1960s,1961,10,9,54.0,82.0,68.0
1961-10-10 00:00:00,1960s,1961,10,10,52.0,83.0,67.5
1962-10-03 00:00:00,1960s,1962,10,3,47.0,74.0,60.5
1962-10-04 00:00:00,1960s,1962,10,4,63.0,70.0,66.5
1962-10-05 00:00:00,1960s,1962,10,5,58.0,76.0,67.0
1962-10-06 00:00:00,1960s,1962,10,6,55.0,76.0,65.5
1962-10-07 00:00:00,1960s,1962,10,7,54.0,76.0,65.0
1962-10-08 00:00:00,1960s,1962,10,8,53.0,72.0,62.5
1962-10-09 00:00:00,1960s,1962,10,9,58.0,75.0,66.5
1962-10-10 00:00:00,1960s,1962,10,10,50.0,74.0,62.0
1963-10-03 00:00:00,1960s,1963,10,3,51.0,78.0,64.5
1963-10-04 00:00:00,1960s,1963,10,4,44.0,69.0,56.5
1963-10-05 00:00:00,1960s,1963,10,5,38.0,70.0,54.0
1963-10-06 00:00:00,1960s,1963,10,6,40.0,80.0,60.0
